Lag,F,p
1,0.025199946286359895,0.8739370405980795
2,1.268054286019705,0.2823313172677077
3,0.9513247864893831,0.41559769813608227
4,1.2328697401229367,0.2960108345494367
5,1.0035321585315815,0.41504516667708413
6,0.8421330459523738,0.5377902234832502
7,0.7714203508609541,0.6115635531008281
8,0.9216369266316187,0.4981166096751748
9,0.8755617795748178,0.5470491699434206
10,0.7929122216091243,0.6357049719453427
11,0.7369849958113085,0.7029879726270738
12,0.7234633541965172,0.7288049389851017
13,0.9290695463997692,0.5224580663698462
14,0.9349055763177777,0.520812664329491
15,0.9234323173021093,0.5378427640115842
16,0.8892864704974943,0.5819755904879038
17,0.8987670822068888,0.5757530091350828
18,0.8925301949433867,0.5880727122026354
19,0.8024391948041245,0.7048447764564765
20,0.7766594594110858,0.7424771183915477
