Lag,F,p
1,0.03292274966794815,0.8560943763607678
2,0.08566064357895876,0.9179198818609287
3,0.2531768092126363,0.859074351349823
4,0.17160582259329682,0.9528755345479505
5,0.5573892289505475,0.7326950219924273
6,0.4609390620714577,0.8371946035683486
7,0.3838341900246815,0.9118302596296326
8,0.4183618521500402,0.9100326941380146
9,0.3716203282022463,0.9483981253793773
10,0.4052927586250262,0.9441084983189431
11,0.5273309277140183,0.8850273694256348
12,0.4964537205777074,0.9168751171165682
13,0.5117515533063628,0.9176419504496193
14,0.38402366605605154,0.9791305520857297
15,0.39557873036224733,0.9800608366912528
16,0.5375259450444911,0.927004903400588
17,0.5643286013909113,0.91753318727014
18,0.6062548355486057,0.8953594755879783
19,0.6351603722930831,0.8797001421074832
20,0.6486073954768504,0.875325725641619
