Lag,F,p
1,0.2834479122880578,0.5946980894469784
2,0.3223896207240531,0.7245746057107711
3,0.23675244391941394,0.8707374005022659
4,0.15134976808381176,0.9623611509241323
5,0.13154258571421903,0.9851241461194721
6,0.13504508922079103,0.9917189145904309
7,0.15887751586085913,0.9927174159178944
8,0.1360561609232911,0.9975795860093707
9,0.3227656128627818,0.9674598931054254
10,0.5574871367030745,0.8484762558411112
11,0.4966162275014592,0.9054766303460495
12,0.6954011444043632,0.7563965539553996
13,0.6731335371817325,0.7898903131808862
14,0.6690273518245192,0.8050141204230855
15,0.6297726298186991,0.8508584379369107
16,0.5514261283147037,0.9184824159160538
17,0.5446784688946138,0.9296737601151509
18,0.5184770333107619,0.9496307350819922
19,0.5936098481850408,0.9113881332719512
20,0.5744085899038882,0.9299234944172511
