Lag,F,p
1,1.4714638675342342,0.2257152436968042
2,0.9913447989095379,0.37184535641846195
3,1.3697457105934174,0.25130859351112206
4,1.110577298218694,0.3508332928152139
5,0.9012272450395433,0.48003345487584026
6,0.8694777171319537,0.5171705695543766
7,0.7828148561878036,0.6019783414556259
8,0.7123869652650416,0.6806911779141724
9,0.6365855193848157,0.7659053870536616
10,0.614628246757566,0.8017523211973169
11,0.5645716235930812,0.8576269312547824
12,0.5215254166358114,0.9010760696411124
13,0.4946316292822151,0.92766568163955
14,0.5528638399755051,0.9006105984580135
15,0.520803633091616,0.92935354736259
16,0.4928027892094994,0.9506401093495676
17,0.46929045182100265,0.9656372285595979
18,0.5053348735671275,0.9557143114409874
19,0.47559415553744266,0.9714371937506155
20,0.4841789668929068,0.9720290652964589
