Lag,F,p
1,0.0046424853848303065,0.9457060944333032
2,0.6266876924981718,0.5348009859490755
3,0.5761941070187121,0.630893125361395
4,0.4136233015785339,0.7988567178189663
5,0.32812939781038936,0.8959968480119902
6,0.9377323707150582,0.46748225603297866
7,0.9481529894393208,0.4689032584261561
8,0.8421346192522192,0.5658419692022829
9,0.8732621719130276,0.5491318000232345
10,1.681786236433251,0.08230169010653474
11,1.4845694489068757,0.13387982289534447
12,1.3503889017197497,0.18695987829687252
13,1.5796857782818647,0.0874948980545668
14,1.488411978906399,0.11138005563462995
15,1.4821978902663526,0.10767108270049047
16,1.390606177438275,0.14175900137826825
17,1.4699888780543273,0.10138813643407028
18,1.423492195729964,0.11570314498344167
19,1.419202430464585,0.11280818553214461
20,1.3433075465860256,0.14705910351131313
