Lag,F,p
1,0.0011930059561433466,0.9724610597843982
2,0.7468796151443632,0.4743996225030819
3,1.1302555752645584,0.33636466432200224
4,1.118643410445572,0.3469793212935284
5,0.8920051757536737,0.4861880472359119
6,1.0778007138059997,0.3747425521848657
7,1.6797128967373791,0.11184147196636356
8,2.0557537086000104,0.03877748714649352
9,1.835191766512827,0.05997081527456974
10,1.711070874489464,0.07565947668191336
11,1.565243336177484,0.10601157117354967
12,1.3985240820563272,0.16294781279706647
13,1.366750783178241,0.17187286687672887
14,1.3338959979368792,0.18343497827384347
15,1.251691573217409,0.2298290399197971
16,1.2864869154002192,0.20139470244888255
17,1.2297986569824704,0.2368730377708604
18,1.192501975494128,0.26299972689506856
19,1.1524310548152605,0.2956611389780491
20,1.0931670800728222,0.35333499570480414
