Lag,F,p
1,0.09138784232694619,0.7625519309644284
2,1.1401682965866782,0.32064057754336694
3,0.7361619253575781,0.5308343501389966
4,1.0072971909089514,0.4032385134831483
5,0.8496767319413431,0.5150270109843923
6,0.7399933066075755,0.6176440235563808
7,0.7076327883553092,0.6656185027704973
8,0.7979354615309044,0.6046578136617555
9,0.7945456620681418,0.6215374456809222
10,0.7170620662183158,0.7086262260218449
11,0.6680575278867783,0.7690576222192108
12,0.69754418073453,0.7543177646066207
13,0.9284511479666807,0.5231060099850402
14,0.8561342666052434,0.6074313642492408
15,0.8824221184279916,0.5843320405472698
16,0.8187976472447602,0.6644097322826381
17,0.8297878516912515,0.6585513947963934
18,0.8194840643937964,0.677586862660682
19,0.783285042809246,0.7277648764241287
20,0.7277525365607449,0.7981093613392947
