Lag,F,p
1,0.9607939388751562,0.3274838051663178
2,1.255948303780812,0.28575166395393076
3,1.1173593423875086,0.3416001837533355
4,0.8452863806429135,0.49695384494656025
5,0.6414241502218102,0.6681989662064948
6,0.562009011157127,0.7606084464651732
7,0.5530161870853055,0.7939634776432101
8,0.5817072533059813,0.7931740266238122
9,0.4974873680719168,0.8763328661308912
10,0.7684592394712836,0.6593604141536901
11,0.7211752046323997,0.7184709158573908
12,0.7236857912867082,0.7285832619620658
13,0.697938540907584,0.7659120873382181
14,0.7007507871763182,0.7741792544547926
15,0.6374293858798314,0.8442076185164117
16,0.6359185738500679,0.8549543833010709
17,0.6189157212031272,0.8777709616613374
18,0.565327250419848,0.9236500031162687
19,0.6431543968849852,0.8729816809363362
20,0.6619156265525356,0.8636295257135689
