Lag,F,p
1,0.014081892121996304,0.9055890208503428
2,0.06815850640919364,0.9341215523842691
3,0.31783984291478595,0.8124856094022128
4,0.21629833662358466,0.9293535768120913
5,0.5516347407662272,0.7370991098639408
6,0.45896782903573763,0.8386099944276936
7,0.38712090180915565,0.9099268552701252
8,0.44420983265954744,0.8942349285633003
9,0.4057174965362017,0.9320562571268219
10,0.40201573384975664,0.9456266785809209
11,0.5333236252676947,0.8808050996483462
12,0.5265741814414872,0.8977167070433553
13,0.4862715905957463,0.932289316996858
14,0.494149887579743,0.9363319328159426
15,0.4191807142996788,0.9735429547562704
16,0.5574436879022165,0.9146195973879147
17,0.6083464038922916,0.8861490676526493
18,0.6157105483694699,0.8880886252668871
19,0.6910540994947921,0.8287837539936004
20,0.6560770842447472,0.8688293276507385
