Lag,F,p
1,0.014317704202716884,0.9048055527354585
2,0.07888939436067456,0.9241542653352248
3,0.1593210360306223,0.9236480482513827
4,0.18490858190423237,0.9462257934214077
5,0.2606330797402334,0.9343611651634142
6,0.7152722296315829,0.6374584471445292
7,0.6166374228361663,0.7423129606149317
8,0.9872146153647614,0.44513536009115096
9,0.8960285516440345,0.5286270730217164
10,1.1230973554323809,0.3428096792832698
11,1.0511531417484554,0.3999813025677535
12,0.985936676717918,0.46128430466015646
13,0.9371780584693251,0.5139846811158243
14,0.9277339650339779,0.5285871806920359
15,0.9381588273704579,0.5213402529394141
16,0.8727863543428122,0.601323488780656
17,0.8043355876985359,0.6886201716979741
18,0.7688267505449841,0.7373356953663215
19,0.7273214857222735,0.7912399567628468
20,0.695362304092321,0.8318577154720859
