Lag,F,p
1,0.0005829034474605756,0.9807483269627966
2,0.35219476400413524,0.7033270092705601
3,0.26704196914357003,0.8491574484631855
4,0.20800270848247174,0.9339636574990307
5,0.16641242281469534,0.9748144531086801
6,0.14685558523458134,0.9896269348271152
7,0.14032851267582483,0.9950420481888613
8,0.11481572297899473,0.9986863718836491
9,0.28818733480934894,0.9778890038946071
10,0.4453141499103347,0.9236353019226502
11,0.39166530558022006,0.9592258678095403
12,0.517020919937769,0.9040234810811049
13,0.4968216593147752,0.9264249720588151
14,0.4811042373103257,0.9430244739513421
15,0.48030024781396874,0.9502827225499292
16,0.4516601032327804,0.9674271464889959
17,0.4795127287737839,0.9617149066660402
18,0.445107291365559,0.9773321666405448
19,0.46863554140049507,0.973683188658431
20,0.4841499534337017,0.9720386514652297
