Lag,F,p
1,1.2817367623716458,0.2581451616789111
2,0.9468784052721503,0.3886827145453252
3,1.771392544010789,0.15175118993538703
4,1.3529975438103425,0.2493497093772925
5,1.094360909124285,0.36264311300343655
6,1.0390819971360392,0.39905188722660356
7,0.9339703754263992,0.479736640061287
8,0.9094562525418133,0.508270995778857
9,0.7767545814118908,0.6380749824152103
10,0.7422391497538069,0.6846068894369629
11,0.6944868403272134,0.744203054726237
12,0.6406707778184678,0.8075324576184993
13,0.6074848243728534,0.8484757188373669
14,0.6194737673961699,0.8494722881540766
15,0.5404165015071292,0.917582610246221
16,0.5016212018664449,0.9464332225892916
17,0.487747598157521,0.9583448777308639
18,0.5441852555240242,0.9362160383234216
19,0.5085359931022714,0.9589734147854005
20,0.5184999784970963,0.9589967247031738
