Lag,F,p
1,0.016885208524101202,0.8966662244782103
2,0.6757053306597369,0.5092868253750646
3,1.0273874204157771,0.3801487490772432
4,1.0827805410222995,0.36437771640937755
5,0.966026308939358,0.43815376043361787
6,1.101687940303497,0.3602682017911991
7,1.7209999937159233,0.10201038461780394
8,2.0164666566781917,0.04300334589537195
9,1.9154007513933762,0.04795808579068655
10,1.749696026029464,0.06763470818481797
11,1.6029028024955814,0.09482252604313397
12,1.4762675857460774,0.12953770908712153
13,1.372042359929333,0.16916461585515474
14,1.36663292803252,0.16565320947522783
15,1.314085844459805,0.18931125150193728
16,1.3136864459697204,0.18420091750848724
17,1.2395402872167018,0.22953211994089123
18,1.2410063241833886,0.22419134623298478
19,1.1933134161871315,0.25885224253705075
20,1.1204827111176452,0.32466392994852605
