Lag,F,p
1,0.02347273481716808,0.8782989268025667
2,1.3196566206333544,0.26820701161262234
3,0.9667415988448499,0.4081952612385623
4,1.3177500839824083,0.26233603092473934
5,1.070369003415646,0.37599034461741143
6,0.8905299596188797,0.5015621418113319
7,0.8328521052131617,0.5603586998942036
8,0.955135262986818,0.4706796448794863
9,0.910754869680248,0.5155099252294688
10,0.8248292092537594,0.6048223209230783
11,0.7713368968610206,0.6689025379182589
12,0.7496384255221469,0.7024514494724134
13,0.9701330822766757,0.48003201448278143
14,0.9808062558782932,0.4719407050215604
15,0.9581381587053028,0.4991828853975079
16,0.9132099057507073,0.5540254119995358
17,0.914732380582829,0.5566078973271625
18,0.913009599404167,0.5628570713772572
19,0.8227913156825081,0.6800019030629063
20,0.7948042116234665,0.7206776607138176
