Lag,F,p
1,0.7770088755941124,0.37850144332986324
2,0.6326300606641638,0.5316407963301
3,0.9150343830711584,0.4334663786288333
4,0.6455951804021941,0.6302322314018145
5,0.5451858123751271,0.7420284024380761
6,0.5135208157532402,0.7982117177339357
7,0.4557975308141199,0.8662169618313091
8,0.6288067906216985,0.753750146218906
9,0.6215332835921908,0.7789602598942291
10,0.9812463753802145,0.4588425220557255
11,0.949230527269218,0.49261927448695986
12,0.9866442339804086,0.460602468280944
13,0.9085289598817278,0.544098187183459
14,0.9788908860375088,0.4739449089746969
15,0.9000703510229332,0.5642517436047113
16,0.8401806044043056,0.6395257931686029
17,0.7827788276775213,0.7136435750703765
18,0.73721884915354,0.7727587376478695
19,0.923433571085073,0.5537384519369247
20,0.8870936363125681,0.6040790352562655
