Lag,F,p
1,0.02641669212861018,0.8709556604511046
2,0.08106611964249073,0.9221455003148763
3,0.316332749081424,0.813577909708273
4,0.2160299333608563,0.9295043400901823
5,0.6470967460015827,0.6638588885883261
6,0.5333998500220801,0.7829521610609943
7,0.44467202652475285,0.8737743360119126
8,0.4799005629546222,0.8705511059850621
9,0.42825117698067355,0.9199129611658421
10,0.4521632807718993,0.9197780780050118
11,0.5751503100429347,0.8493590698901353
12,0.542828205217471,0.8865070122718972
13,0.5561409685563063,0.8882448969216519
14,0.42522387222735025,0.9666498317924794
15,0.43484502421027565,0.9684903178398119
16,0.572694368967592,0.9043635577837991
17,0.5994334318618588,0.8929647388903945
18,0.6411995565146322,0.8671585632111705
19,0.6519900302474463,0.8653298704700089
20,0.6599589389752691,0.865383978570188
