Lag,F,p
1,0.1412001239503827,0.7072578818392719
2,0.1682368613971571,0.8452040704285576
3,0.23644218419741558,0.8709566903328216
4,0.29374682413824904,0.8820309177722487
5,0.3502968307046388,0.8820502516450127
6,0.7561074701656856,0.6048061808382498
7,0.655594108366178,0.709711766260186
8,0.9915580523121995,0.44173518300677506
9,0.9758180726456163,0.45921729923499455
10,1.261919023033306,0.2495891207797241
11,1.1735584216985844,0.302991274201523
12,1.0947701273962107,0.3624109547542676
13,1.0520474735187402,0.39997533805742613
14,1.1122782990987514,0.34421356028654443
15,1.0438374367036076,0.4083793731324427
16,0.9383779404182176,0.5248811786917874
17,0.864978440782232,0.6164060442414865
18,0.8323283450757091,0.6620262932617877
19,0.7900189888738872,0.7197643297078846
20,0.7530483615117354,0.7699627586484991
