Lag,F,p
1,0.36407734660386126,0.5465372581467065
2,0.3971169382853129,0.6724788585370545
3,0.2838817473779463,0.8370463298119668
4,0.18212302727748206,0.9476443883113846
5,0.1537842232157537,0.9788606938711553
6,0.17613280726922886,0.9832288788529432
7,0.1861001087030523,0.9882260214862876
8,0.15357709036228212,0.9962837300347653
9,0.328899907070533,0.9653477080042625
10,0.5688943387127288,0.8395386058490255
11,0.5082917592240461,0.8979424441530438
12,0.7034976226099751,0.7485168547349295
13,0.6795643171137353,0.7837585540029031
14,0.6700680124315606,0.804029599515862
15,0.6280173113530506,0.8523638977141597
16,0.5493460077397608,0.9197933699115566
17,0.5490696549841789,0.9270616880653123
18,0.5141465479070935,0.9516923361179371
19,0.5905910227386801,0.9134748034013872
20,0.5668622722700554,0.9344451091896963
