Lag,F,p
1,0.15523731952904574,0.6937558756918634
2,1.1741169990365754,0.30998907190736086
3,1.8420484177330965,0.13865061096972572
4,1.44112397152775,0.21930285159790985
5,1.1676542822801848,0.32406886806354723
6,1.4477835526242198,0.19466141367560008
7,1.24448267425077,0.27671641100749933
8,1.0563214961156047,0.3928046281195639
9,1.2387752985483698,0.2690011323482745
10,1.2674073734284845,0.24633322716101966
11,1.3257504972146321,0.2068451492315463
12,1.2979810155726617,0.21621737752536072
13,1.2677364222251728,0.2291817897070003
14,1.3036520688334052,0.20116936854054732
15,1.1789385690058691,0.28475545186951606
16,1.0665923391985397,0.38518135463463704
17,0.9675343676980697,0.49421897224984923
18,0.9068521805218848,0.5704283765508187
19,0.9825168953692773,0.48066789849854075
20,0.9341695169925075,0.5434665344267378
