Lag,F,p
1,1.406069684216636,0.23630028800488057
2,0.9309612647580532,0.39489412759968423
3,1.2919745734873171,0.27651158700097866
4,1.0658089510627684,0.37284916836491583
5,0.8655747018731987,0.5040840872944365
6,0.8431375494360107,0.5370261906184917
7,0.7524197263639852,0.6276105477731044
8,0.6804248244627901,0.7089416185390289
9,0.6073613603317998,0.7910564257632562
10,0.5898725711043108,0.8225751008319511
11,0.5372796404376727,0.8779775304432591
12,0.49268862400624086,0.919118741304292
13,0.46518102635557995,0.9431597696938838
14,0.514844077532145,0.924784378299818
15,0.4866019318714453,0.9473235895426786
16,0.4559830350066492,0.9658769688516499
17,0.44479924398616943,0.9739020555209095
18,0.4886303739505768,0.9627144017249343
19,0.4609318854910641,0.9760208112486956
20,0.47457796305452454,0.9750760925903164
