Lag,F,p
1,0.002392899582952888,0.9610056987906465
2,0.7634836793679486,0.4666123032889109
3,1.0579358128246343,0.3666574818005012
4,1.0814927978522892,0.3650151204855149
5,0.8671512013911592,0.5030061464816667
6,1.0546470749051635,0.3891541639457473
7,1.6115362631888228,0.12993025100875719
8,1.9802250301275286,0.047278266021799666
9,1.7683469477876146,0.07201672689281519
10,1.6520665969761077,0.0895688721494384
11,1.5183877713931446,0.1215168611781992
12,1.356210801163012,0.18391312848701152
13,1.346354046746916,0.18263900159060617
14,1.3110443986787212,0.19671641462185585
15,1.2353537159212213,0.24143544038669365
16,1.259579557753464,0.2195826742086946
17,1.1908758767850114,0.26788727397472284
18,1.1555941187505219,0.2954857581925819
19,1.1156020402530924,0.33159241866237094
20,1.062074107309909,0.387647068236218
