dates,rate,fluctuation,prices,anger,depression,fatigue,tension,confusion,vigour
2017-01-20,0.0034469177756385637,-0.6800079345703125,197.9600067138672,0.597561,0.071944535,1.3892939,0.78244656,-0.31852376,-0.17540321
2017-01-23,-0.0009093146517745741,0.1800079345703125,197.77999877929688,-0.6826145,0.9993134,-0.36439902,-0.44778088,-0.45875615,-0.2658575
2017-01-24,0.005359478031833763,-1.05999755859375,198.83999633789062,-0.68352276,0.99985284,-0.36441988,-0.44908097,-0.4590688,-0.26587597
2017-01-25,0.007946096661406974,-1.5800018310546875,200.4199981689453,-0.28589183,0.006275255,-0.3244845,3.5409532,-0.3727986,-0.19207244
2017-01-26,0.001496871841625919,-0.3000030517578125,200.72000122070312,2.52527,0.27252135,-0.36358577,-0.44730476,-0.433088,-0.2658772
2017-01-27,-0.00044836756348794996,0.089996337890625,200.6300048828125,-0.6828398,0.002026745,4.8311186,-0.44865552,-0.45825347,-0.26441565
2017-01-30,-0.006230374169258092,1.25,199.3800048828125,-0.11887702,0.045824774,-0.3636854,-0.44807482,5.409695,-0.19051921
2017-01-31,-0.005115880466852505,1.0200042724609375,198.36000061035156,0.9515818,0.6298567,-0.3644909,-0.44391257,-0.45639434,-0.2658811
2017-02-01,0.0013611830592364252,-0.2700042724609375,198.6300048828125,-0.55452806,0.9610516,-0.3644801,-0.44873345,-0.38948104,-0.26588088
2017-02-02,-0.0001007112317836351,0.0200042724609375,198.61000061035156,-0.6022193,0.9460394,-0.34335452,-0.31945202,-0.43692702,-0.26588023
2017-02-03,0.008911959453308036,-1.7700042724609375,200.3800048828125,-0.66135985,0.9917782,-0.36450344,-0.44873312,-0.43732402,-0.2658804
2017-02-06,-0.0004990822491201714,0.100006103515625,200.27999877929688,-0.68051624,0.9990478,-0.3644858,-0.44902045,-0.4581508,-0.2658803
2017-02-07,0.0014979181824761629,-0.3000030517578125,200.5800018310547,0.39574224,0.5566605,-0.3641339,-0.42919022,0.94877344,-0.2658702
2017-02-08,-0.00034902444700202987,0.07000732421875,200.50999450683594,-0.1382153,0.86166114,-0.36445725,-0.4491888,-0.3487337,-0.26587746
2017-02-09,0.006034645389339607,-1.2100067138671875,201.72000122070312,-0.5544047,0.2142225,-0.2805607,0.5086927,-0.31368953,3.1537225
2017-02-10,0.00505653512932981,-1.0200042724609375,202.74000549316406,0.3401654,0.7531913,-0.3571421,-0.42577568,-0.39103714,-0.26585543
2017-02-13,0.007201299277499293,-1.459991455078125,204.1999969482422,-0.29514462,0.010979612,0.064607225,3.2604809,-0.4090641,-0.26492712
2017-02-14,0.004750250906952695,-0.970001220703125,205.1699981689453,-0.37693802,0.30444244,-0.36128122,-0.19966264,3.6527352,-0.26586688
2017-02-15,0.005897581150587226,-1.2100067138671875,206.3800048828125,2.1069167,0.025291268,-0.36281663,-0.13139448,1.526754,-0.2658302
2017-02-16,0.0004844987031730118,-0.0999908447265625,206.47999572753906,-0.5777512,0.9506695,-0.36425254,-0.44845608,-0.277841,-0.26584736
2017-02-17,-0.0029058061659313532,0.5999908447265625,205.8800048828125,0.15703471,0.5158492,-0.35158822,-0.42768478,1.5434538,-0.20377505
2017-02-21,0.005780077779207373,-1.19000244140625,207.07000732421875,-0.66385174,0.9772591,-0.36361507,-0.43256074,-0.35705417,-0.26439872
2017-02-22,0.0018350780440572003,-0.3799896240234375,207.4499969482422,-0.14922248,0.8295785,-0.1389925,-0.4423775,-0.42219335,-0.26588058
2017-02-24,0.0005292337007327332,-0.1099853515625,207.92999267578125,-0.06165617,0.24971175,-0.36150357,2.2980797,-0.4015067,-0.2647604
2017-02-27,0.0017313548936295122,-0.3600006103515625,208.2899932861328,0.668526,0.63627017,-0.35381222,-0.30160326,-0.2822982,-0.26587307
2017-02-28,-0.0014882978951749216,0.30999755859375,207.97999572753906,-0.661742,0.98916334,-0.36450717,-0.44919106,-0.41727343,-0.2657671
2017-03-01,0.014616831461543016,-3.040008544921875,211.02000427246094,-0.37315184,0.15909192,0.39566287,-0.2599039,-0.39257434,3.5800781
