dates,rate,fluctuation,prices,anger,depression,fatigue,tension,confusion,vigour
2017-01-20 16:00:00,0.2914634652758393,-0.2403153215488255,-1.954767571404281,-0.0016695164,-1.3222219,0.2200677,2.423256,-0.38654953,-0.23726332
2017-01-23 16:30:00,0.22165671013975852,-0.18404345059009505,-1.9599711743512667,-0.58436424,0.77834916,-0.363133,-0.47039443,0.44220698,-0.31130078
2017-01-20 09:30:00,0.1660345765395161,-0.13902767099952074,-1.9771421113263141,-0.09076197,-0.17173967,0.06655218,-0.28008556,-0.33266434,1.1359847
2017-01-23 16:30:00,0.16581343623398012,-0.13902767099952074,-1.9641338979171878,-0.6404258,1.1143227,-0.3679076,-0.45165503,-0.49154022,-0.31109256
2017-01-23 16:30:00,0.22165671013975852,-0.18404345059009505,-1.9599711743512667,1.8716451,-0.5265463,-0.36829162,-0.43465874,0.09783723,-0.30975094
2017-01-23 16:30:00,0.16581343623398012,-0.13902767099952074,-1.9641338979171878,-0.62178636,0.016499832,-0.34423003,-0.46586806,-0.48986802,2.3233545
2017-01-23 16:00:00,-0.06444293600175377,0.046659200105829274,-1.9641338979171878,-0.37219596,0.35407838,-0.10963797,0.27657866,-0.42241842,-0.26305914
2017-01-24 16:00:00,0.7232720916213032,-0.5891768810232132,-1.908979200095826,-0.64290816,1.1306176,-0.37053663,-0.4736878,-0.4920944,-0.31176585
2017-01-25 09:30:00,0.8026146067695966,-0.6566962574680494,-1.848100856616115,0.7721924,-1.5700792,1.9943314,0.63984823,-0.4342474,-0.30821863
2017-01-24 09:30:00,-0.001725203886568847,-0.003980332227797878,-1.9636138552058244,0.58179414,-0.79325193,-0.3500794,1.5380821,-0.4284773,-0.31143942
2017-01-25 16:00:00,0.27395137696267263,-0.22905923018066932,-1.8267671960751466,-0.21834828,-1.5546188,-0.33011845,3.505268,-0.3954061,-0.23931108
2017-01-26 09:30:00,0.11514539075743586,-0.09964423003404978,-1.81740086956224,-0.6318296,-1.4844295,-0.36094144,3.904193,-0.47304136,-0.31020373
2017-01-25 09:30:00,0.8026146067695966,-0.6566962574680494,-1.848100856616115,-0.6429129,-1.5710012,-0.36135736,4.0724983,-0.49119714,-0.3117702
2017-01-26 16:00:00,0.07378491769796267,-0.06587595592958122,-1.8111571811925273,2.7831953,-0.8350628,-0.36969244,-0.47191653,-0.4629761,-0.31176707
2017-01-27 09:30:00,-0.029299903385115258,0.018523264626464035,-1.8127181032849555,-0.60285884,0.912712,-0.37032998,-0.17686433,-0.4360797,-0.3114546
2017-01-27 16:00:00,-0.049913166804494966,0.035403108737673085,-1.8158399474698117,-0.6421789,-1.5661008,4.8878293,-0.47326353,-0.4911806,-0.31033224
2017-01-30 16:30:00,-0.599542510705386,0.48555231876136545,-1.8574663891706837,1.9467962,-0.56265783,-0.37024987,-0.3907919,0.004950752,-0.3113665
2017-01-30 16:30:00,-0.9087057406159542,0.7387585663115517,-1.8808810145154438,0.21359794,0.61661273,-0.36800614,-0.472216,-0.42271706,-0.31177065
2017-01-30 16:30:00,-0.599542510705386,0.48555231876136545,-1.8574663891706837,-0.623941,-1.4200658,-0.3586087,3.7258077,-0.46166733,-0.23249803
2017-01-30 16:30:00,-0.9087057406159542,0.7387585663115517,-1.8808810145154438,3.838802,-1.5580014,-0.3686753,-0.42732716,-0.20512977,-0.29369706
2017-01-30 09:30:00,-0.5584865088338189,0.45179263053894736,-1.8574663891706837,-0.44588184,-1.3978571,-0.080949165,3.2316315,-0.2940982,-0.30328152
2017-01-30 16:00:00,-0.31918656427499176,0.2548496680654412,-1.8808810145154438,-0.04002032,-1.4477321,-0.3697933,-0.47268444,6.085384,-0.23778638
2017-01-31 09:30:00,-0.46511709048044747,0.373017162725955,-1.9152228884655385,-0.3338447,0.24737103,-0.33842835,-0.25738606,1.1032426,-0.2440319
2017-01-30 09:30:00,-0.5584865088338189,0.45179263053894736,-1.8574663891706837,-0.64221066,1.1303025,-0.37062487,-0.47379535,-0.49200973,-0.31177086
2017-01-31 16:00:00,-0.258477401871669,0.20421013573181404,-1.9339547475330139,1.1029367,0.13066599,-0.3706085,-0.4685337,-0.4890969,-0.31177092
2017-01-31 09:30:00,-0.46511709048044747,0.373017162725955,-1.9152228884655385,0.70662063,0.15798862,-0.3706166,-0.47335976,0.112127565,-0.31115565
2017-02-01 16:00:00,-0.35490096512392866,0.2829856035448064,-1.9199056547428228,0.28786802,0.47623348,-0.37029353,-0.46322262,-0.14256921,-0.31172884
