Lag,F,p
1,0.6854948781437087,0.4078248415028033
2,0.2548866933693819,0.7750359268172224
3,0.4856197885833837,0.6923110142176974
4,0.45504838751209564,0.7687669826434489
5,0.492298174738546,0.7822204710848806
6,0.437206583135897,0.8542960877180006
7,0.40093975988910724,0.9021321278567866
8,0.4320097839932763,0.9023585965002386
9,0.49863164940539967,0.8762145503640502
10,0.5925405074929038,0.8211668929619608
11,0.5727656480935246,0.8521986324276777
12,0.497835540420796,0.9170018531770595
13,0.6061767918307879,0.8508101921499311
14,0.74779822898693,0.7267507632042056
15,0.7082844114469555,0.7781951564580188
16,0.6792887568908014,0.8168595303510212
17,0.807316764571721,0.6861141120249172
18,0.8248533698058496,0.672045291895735
19,0.9174090383662794,0.5608734963785901
20,0.8671784266243338,0.6303259216843922
