Lag,F,p
1,2.9668371940715086,0.08518171562202571
2,2.903078055423135,0.05514456935827515
3,2.048887716543523,0.10514402037638691
4,2.220705775703577,0.06460018417866104
5,1.8708778557730643,0.09640079609677067
6,1.6091063383878996,0.14077444309739692
7,1.514684572593953,0.15782008308019038
8,1.4279572050997416,0.17983789455021143
9,1.2957769776051755,0.23408383390307888
10,1.2243148711753336,0.2701728118312688
11,1.1212314143750222,0.34004237847707736
12,1.0517250554393658,0.3980001169960937
13,1.0078726069688515,0.4406115492956556
14,0.9641466152732711,0.48823260125865653
15,0.9247475570499009,0.5356136031786556
16,0.8807370728491583,0.5919073414920477
17,0.8407526193427932,0.6460479725194055
18,0.9388676478287639,0.5303546225277663
19,0.8870312454668887,0.5997334933974612
20,0.8522351739057508,0.6497290363611931
