Lag,F,p
1,0.06066190380465535,0.805484508450304
2,0.11574486138704917,0.8907099415702882
3,1.2401860052545317,0.29364384113346825
4,1.9235063933849799,0.10401834110357512
5,1.6376745529269734,0.1468510854594355
6,1.7504485414344708,0.10579700088069659
7,1.6200677691818082,0.12534544218881055
8,1.5105022833695614,0.14851232964980193
9,1.6199057003889519,0.1042410221952134
10,1.788375709221277,0.057938259253802575
11,1.8227946189353907,0.04560785263363644
12,2.3744078240005098,0.004954852823952922
13,2.287424373894207,0.0054470158051704715
14,2.154322735062018,0.007663806079565479
15,2.034327124693457,0.010736027184680195
16,1.981001949543567,0.01154760295908135
17,1.9341035383947656,0.012326373039676096
18,1.919065067424419,0.011434759976355105
19,1.8059003534132239,0.017776441859084287
20,1.7191810034356796,0.024781899902906707
