Lag,F,p
1,0.09611513207767998,0.7565828979098324
2,0.14456601594920554,0.8654091398617683
3,0.09992705145853789,0.9600572200872961
4,0.3523678136698547,0.8425015723711304
5,0.5530933661489856,0.7360574953783451
6,0.45341662899878366,0.8428895034931176
7,0.6514160387324126,0.7134148294938808
8,0.7576274996458016,0.6404101191406953
9,0.7648149566852466,0.6492384227788331
10,0.7013880774076172,0.7239265058494859
11,0.6784421913445307,0.7601448331512304
12,0.5980205090505402,0.8453071484624427
13,0.5879612035018673,0.8655288338379403
14,0.6589111990296552,0.8158452547017042
15,0.6175352718949134,0.8627541860830545
16,0.5764577651026312,0.9033130585932326
17,0.6608892681707464,0.8433470274824394
18,0.6251115437014715,0.8825858259789463
19,0.6081048057376404,0.9030080830573608
20,0.6357188299400994,0.8884188120419763
