Lag,F,p
1,2.696408140879746,0.10077172649483745
2,1.40252989617764,0.24627764622380877
3,0.9783508835829506,0.4020288459028939
4,2.0957119090194927,0.07905339625383256
5,2.0930289666758934,0.06367179781573942
6,1.822140618524744,0.09123090107351593
7,2.4572013627741374,0.01655001054735738
8,2.153625356528694,0.02840644646778947
9,2.1338244237450525,0.024106313128646695
10,1.9412801353574092,0.03611911089244217
11,1.840854073118998,0.0429681289148372
12,1.785366905414549,0.04552711050948205
13,1.8716825054903614,0.029088238395951354
14,1.8757903446561714,0.024830569326213105
15,1.7971283255554773,0.030090818927413644
16,1.7318425410019966,0.035388115032334244
17,1.7567386212356653,0.02841346426137893
18,1.6510820172869904,0.041637095908894216
19,1.5593366376369016,0.05840873337977298
20,1.6231457313516802,0.04008020203762745
