Lag,F,p
1,0.12683300745824944,0.7217856526574145
2,1.2116444940963507,0.29798168129844266
3,0.36466958447793196,0.7785284156267552
4,0.5380770885035835,0.7077883877612127
5,0.3370779614954643,0.8906476662831248
6,0.3427506644394988,0.9143098080015926
7,0.4714401524995825,0.8557454948664491
8,0.4212280917646836,0.9088466338508578
9,0.5589561770561808,0.831356444963059
10,0.6125241440911242,0.8043207626900359
11,0.6177733653217522,0.8150194390037716
12,0.5879055237317748,0.853523473300392
13,0.6472457228289329,0.8151235333510101
14,0.7035886486717278,0.7725615344868746
15,0.8362018464993909,0.6374076271863713
16,1.3243584413067526,0.1731522725434679
17,1.243060638050881,0.22226665285511424
18,1.363102483057352,0.14026222165858607
19,1.3726347681357598,0.13007428146597494
20,1.3185699841591239,0.15611588879528876
