Lag,F,p
1,1.7457427062406439,0.1866023325686994
2,0.5385355357485121,0.5837085702928382
3,0.2716312793540505,0.8458900516486431
4,0.20222110350740707,0.9372120689454763
5,0.28323357099713226,0.9224584125519115
6,0.232348183891841,0.9661474886841888
7,0.33623911465208517,0.9375693844526842
8,0.5409432058994571,0.826206005267777
9,0.5701510371955625,0.8224382774197266
10,0.5055854895559811,0.8870941758896908
11,0.4617525301301757,0.9269491890938749
12,0.44788602815192236,0.9439663194384467
13,0.41623248223738474,0.9647281140400592
14,0.4741469932118175,0.947382042987645
15,0.44600385801966363,0.9653589332594641
16,0.4636023780627688,0.9639776820570424
17,0.6542758991511186,0.8493785368322317
18,0.6399790974005273,0.8702337236279246
19,0.6531243888230024,0.8665381888394629
20,0.6485410869628743,0.8777324472475048
