Lag,F,p
1,0.032445496451652636,0.8570762700772054
2,2.1399495354998135,0.11799911163757165
3,2.8311824170789137,0.03717381527888402
4,3.553311378854759,0.006804959417633002
5,2.7629508409430916,0.017153348573923637
6,3.00649983001449,0.006334275001453914
7,2.5170126960802284,0.01417860298200829
8,2.205074402695275,0.02464108509674573
9,2.0499735234587493,0.030980590474165823
10,1.9046348154311277,0.04051981360213805
11,1.7531638506797873,0.057223625895845794
12,1.6146832760216654,0.08112570010229553
13,1.589789333321177,0.08114447687446402
14,1.4071161070589098,0.1415237570435917
15,1.3211674624820662,0.18075915881481752
16,1.3280921664889744,0.17094106616870786
17,1.4134167147012502,0.12056092031912362
18,1.4326274514777975,0.10666050693291584
19,1.3589042581119304,0.13741904519261053
20,1.3687915425749544,0.12720911108823285
