Lag,F,p
1,0.4903467483557223,0.4838747930644185
2,0.5967923091429329,0.5506980070594549
3,1.0048008245529159,0.3897028429280733
4,0.7837442510306138,0.5356800139273632
5,0.8227756945983288,0.5333446453176911
6,0.7257849277289612,0.6288576462944353
7,0.8999016002387459,0.5055612246970717
8,0.7944921168176629,0.6075076986760672
9,0.7791049151421239,0.6358788877907169
10,0.7190520332005124,0.7071681837732322
11,0.6335244478494783,0.8012438734714191
12,0.6613890880912319,0.7896552139935664
13,0.6089293498852332,0.8485240998039268
14,0.8282327654692128,0.6386513546697621
15,0.7698355357950748,0.712507430276301
16,0.7913473144904081,0.6969334153091631
17,0.7562390391982389,0.7451819540918989
18,0.8273914152390005,0.6689360384253178
19,0.7838453921355968,0.7287325969821169
20,0.7101341808495055,0.8191645671376409
