Lag,F,p
1,0.13040925879137286,0.7180559071064301
2,0.08327317872581902,0.920103768697803
3,0.25424786452909776,0.858342381951294
4,0.21296679110875055,0.9313195227894003
5,0.8321346059659065,0.5267373898392549
6,0.6066813359218152,0.7251924559488773
7,0.6364112637975473,0.7260514939118532
8,0.5757495730436077,0.7985302961627788
9,0.5506531236102636,0.8378596246557078
10,0.4645515565661245,0.9132717883270235
11,0.4278643224539712,0.9442676354700149
12,0.3996014652571413,0.9642316070227881
13,0.39637012521028686,0.9714408039768543
14,0.6246595435739198,0.8464586800625887
15,0.5800318414987524,0.892065660149811
16,0.54185982924208,0.9258321269407402
17,0.5142174230143072,0.9475119789813968
18,0.5017678959421933,0.9585236484535488
19,0.5163230103143572,0.9569481298168143
20,0.5118458450924692,0.9631564425368963
