Lag,F,p
1,1.8902614381299425,0.1693655381285567
2,0.6964030923933215,0.4985264479140902
3,0.18825617278821377,0.9044308048490501
4,0.556312629153833,0.6944381057445175
5,0.6125939907151674,0.6902876360148328
6,0.46953690811228266,0.831285383349757
7,0.5950772235806839,0.7603963107378418
8,0.8410506656560386,0.5663696655852715
9,0.7648059145983442,0.6492468735864748
10,0.682950653423836,0.7412002464557463
11,0.6303458144005388,0.8040529296924791
12,0.5885528032508173,0.853003730752432
13,0.6030254883224624,0.8534077996504714
14,0.6429358671513142,0.8304267761029221
15,0.6194064224469712,0.8611974787302822
16,0.5768110579597715,0.903065170912119
17,0.5478018923836828,0.9293485298645648
18,0.5485667561019707,0.9353213149136689
19,0.5233196462375336,0.9537865790754653
20,0.537922328536751,0.951641994778726
