Lag,F,p
1,0.2131388092815122,0.6443812387755918
2,0.24011212125947856,0.786568147404906
3,0.33345541338713164,0.8011633813554088
4,0.743144360624987,0.5625780272393233
5,1.1086947691027167,0.3536850413473072
6,1.0760330679245687,0.37458734574800506
7,1.7292247163187078,0.09804052461534773
8,1.6949024002248976,0.09496241033066541
9,1.7327834089986063,0.07683112817619844
10,1.6256782745875955,0.09366041325173313
11,1.536842149958921,0.111997446887642
12,1.4872590691359215,0.12181612227293753
13,1.5332472970650266,0.09835547186812242
14,1.6510662564085674,0.059731453166185104
15,1.5981466715930481,0.06701279084168056
16,1.5112584660513237,0.08730920033550217
17,1.4920017864945834,0.08861497524462486
18,1.4093114121008885,0.11709457724345286
19,1.3379894423313432,0.14924421222307974
20,1.3970425013385492,0.11295711558139125
