Lag,F,p
1,0.0010487598942592394,0.9741694251252748
2,0.0037142058380702394,0.9962926919258693
3,0.008412243712175672,0.9989412790752575
4,0.10263789983693351,0.9815867418132678
5,0.8878622218015865,0.4883165790783144
6,0.7689602623471539,0.5943335930791589
7,1.2209965083327985,0.2875956752939186
8,2.0924154171355256,0.03358881685834603
9,1.8554850751382297,0.05451893785179583
10,1.6388729233725432,0.09016782655708257
11,1.510049107021565,0.12123941801113286
12,1.4356431563644791,0.14265541245884347
13,1.5499449670615215,0.09297203983261285
14,1.5838432591837537,0.07654222428105205
15,1.4850442334720688,0.10241973710511153
16,1.4973535708487538,0.09212437159319246
17,1.4789665890332,0.09335400051818131
18,1.408972686117449,0.11725217353081574
19,1.576044800373018,0.05412431826636985
20,1.4828233716308232,0.0775591566494463
