Lag,F,p
1,0.29333032801440534,0.5881698822120063
2,0.707037737575552,0.4932575071766486
3,0.8926684840285958,0.44421974731881153
4,0.9232135296593339,0.44945288214541146
5,1.0606936457813267,0.3804188523661077
6,1.3087090870386737,0.24985451872672212
7,1.2963779926544898,0.2481668255311141
8,1.2187606715691754,0.28386029434578114
9,1.086001863124231,0.3698074345691311
10,1.110670800687829,0.35010662515716134
11,1.2601258290648856,0.24197469060381657
12,1.2019800692760165,0.2756891371702479
13,1.131383962362501,0.32706349449956273
14,1.3317033174503412,0.180623984772814
15,1.2956440636265423,0.19640007183826666
16,1.2314874552153874,0.23555408412733125
17,1.1603904237050104,0.2900326381757773
18,1.1368055574727574,0.30896655539756074
19,1.1378756765587614,0.305262035276152
20,1.084241510055373,0.3592919798608778
