Lag,F,p
1,0.5883255723900661,0.4431808574153294
2,0.23480828096272013,0.7907498114197494
3,0.47313890558363914,0.7010335043267438
4,0.4321184811079664,0.7855121578209622
5,0.4890263517228813,0.7846706943069489
6,0.43858800650533825,0.8533348468281229
7,0.3918643858383466,0.9075468331903369
8,0.417338493580893,0.9111350105883782
9,0.49064745542630356,0.8817041693872422
10,0.5893976916455786,0.8237653443477595
11,0.5735910981913293,0.8515484607058279
12,0.5019678021436689,0.9144984149100752
13,0.6033970883788751,0.8531025890478132
14,0.7234981920495227,0.7522463756490937
15,0.6869459191737257,0.7995980451862273
16,0.6593303505325244,0.8357407584315448
17,0.7854707464434001,0.7117691568761066
18,0.8034450362768866,0.6980361220436652
19,0.9033120758153563,0.5788929540837893
20,0.8515865719958338,0.6505680452521194
