Lag,F,p
1,0.05257134429600913,0.8186772600373602
2,0.11559443721839609,0.89084391648061
3,1.2182817008995555,0.3016016690147109
4,1.9749702749298155,0.09587374997499562
5,1.720374213705669,0.12672868149342847
6,1.8323118677271977,0.08931886874275442
7,1.6932110516175505,0.10639846184940321
8,1.5760001043671465,0.12707628698417064
9,1.6717255087478282,0.09073689506660078
10,1.8619903468985477,0.04625870934229753
11,1.88031140340197,0.037679834459386226
12,2.3963342630423123,0.004537846237706701
13,2.304141010795253,0.005075547742091734
14,2.175034782395678,0.0069991142023851614
15,2.059581859408092,0.00957969525472532
16,2.001645471418911,0.010481668504464563
17,1.9600454398734766,0.01086306589167931
18,1.9391971525948049,0.010322813786445818
19,1.8228564886916292,0.016302391227012224
20,1.7324704831842006,0.023147339050291177
