Lag,F,p
1,0.721711534128305,0.39571056043386743
2,0.4517176859405525,0.6366154066212315
3,0.3074046264772836,0.8200586117106183
4,0.28666534137609334,0.8867501588885849
5,1.8845310237300221,0.09400839440199087
6,1.8210826440218895,0.09143190749986577
7,1.54139033336474,0.14897010947516112
8,1.3298680467660824,0.22396797578069272
9,1.2491629428642468,0.2604460854133041
10,1.1257890579487098,0.3386575576480821
11,1.0478697575462819,0.4009958441327666
12,0.9178082039406567,0.5280502485420351
13,1.0537945497854364,0.39621148735702644
14,1.2359917433563672,0.24183883083558178
15,1.1548013407248143,0.3013588055939885
16,1.0905574065413686,0.3583350339487424
17,1.0707936536085403,0.3772738998102444
18,1.077910934716707,0.368711439816896
19,1.0934575704518559,0.3507512471389591
20,1.0347146409327417,0.4163993821938528
