Lag,F,p
1,0.047241463328223744,0.8279626030190301
2,0.13434688659337862,0.8742966446982544
3,0.09263280761187934,0.9641185915475269
4,0.3278937441110669,0.859360242349302
5,0.5361681664737745,0.7490059975051941
6,0.4412497370855262,0.8514769141734918
7,0.6200887702259371,0.7397065586546248
8,0.7238192562468557,0.6706369741162808
9,0.7539294152526144,0.6594070482570118
10,0.6937464774968221,0.7311153761438904
11,0.683197182858782,0.7556569789817948
12,0.6059515825273446,0.838726633524884
13,0.5860193429746837,0.8670549011356586
14,0.6458861655330806,0.8277726653821711
15,0.6075996561527244,0.8708732272962304
16,0.5697425973440267,0.9079562497486728
17,0.6612201659860855,0.8430422432367539
18,0.6261412571637658,0.8817517758077973
19,0.6094799010538855,0.9019906075669863
20,0.6338507857845068,0.8899301119274916
