Lag,F,p
1,2.3755593044359022,0.12344580961887265
2,1.306573021642361,0.2710364747848005
3,1.0172663687779298,0.38400581434865144
4,2.264724402274444,0.06013656726947477
5,2.303582023605093,0.042533698874424736
6,2.092657921473066,0.051284266838652795
7,2.7254305379539776,0.008207555507179713
8,2.361306413329225,0.01588820352340052
9,2.2792959834968753,0.015456729616707944
10,2.1131055979215443,0.020793036677201476
11,2.0036500930607,0.0247696803324335
12,1.9289871104725043,0.02729263393048879
13,2.0251834995644953,0.01598222426707018
14,2.06527591146634,0.011264185262878184
15,1.9673293222538257,0.014471510310101967
16,1.863992483021506,0.019769914526940557
17,1.9052453479360487,0.014169768653035292
18,1.7975077825002395,0.020896608930176596
19,1.6997964038887496,0.03015313047248191
20,1.729701036100923,0.023479608326835683
