Lag,F,p
1,1.425259355314928,0.23271720026955386
2,1.285834092455217,0.27670684321476086
3,0.821793412456823,0.48178756872091844
4,0.7845230756917839,0.535171498923542
5,1.0523331776171496,0.385221518390542
6,0.9166442776546259,0.48178789297234015
7,0.8111748546550602,0.5779284570827306
8,1.3357287631738346,0.22110768283484136
9,1.2002748762473843,0.29041696480784657
10,1.1503519605387178,0.3205838469385687
11,1.0686549274900847,0.3831201274898528
12,1.0515275835199915,0.39817901687850227
13,1.1653166255619336,0.2993636187216269
14,1.1434553518814334,0.3141140274965697
15,1.1834047690171583,0.27744667128525335
16,1.1631485472211351,0.2908832948633337
17,1.0941146914115707,0.35325640595958435
18,1.0981303876907136,0.34750519079344117
19,1.0461090865217972,0.40318770892926664
20,1.1968880626085243,0.24713986335444202
